close,datetime,datetimeISO8601,high,low,open,volume
119.11,1107410400000,,119.16,118.57,119.06,49150700
120.23,1107496800000,,120.43,118.98,119.0,50024600
120.07,1107756000000,,120.52,119.96,120.25,45412000
120.21,1107842400000,,120.65,120.07,120.17,39263500
119.31,1107928800000,,120.49,119.25,120.42,55279400
119.74,1108015200000,,120.02,119.26,119.66,45858600
120.77,1108101600000,,121.04,119.46,119.7,53133000
120.68,1108360800000,,120.86,120.48,120.69,32432100
121.13,1108447200000,,121.43,120.68,120.8,43852700
121.21,1108533600000,,121.46,120.67,120.93,55523000
120.23,1108620000000,,121.33,120.22,121.23,58124000
120.39,1108706400000,,120.48,119.9,120.14,47723300
118.6,1109052000000,,120.47,118.58,119.9,80697600
119.45,1109138400000,,119.57,118.62,118.93,68292600
120.24,1109224800000,,120.32,118.98,119.24,68563600
121.43,1109311200000,,121.67,120.18,120.27,60899900
120.63,1109570400000,,121.3,120.04,121.15,69381296
121.23,1109656800000,,121.52,120.78,120.82,47294400
121.17,1109743200000,,121.93,120.65,120.76,64226500
121.22,1109829600000,,121.9,120.7,121.66,61230800
122.73,1109916000000,,122.83,121.79,122.05,56168500
122.79,1110175200000,,123.25,122.4,122.66,43442400
122.33,1110261600000,,123.0,122.11,122.67,44362000
120.97,1110348000000,,122.29,120.96,121.97,73263600
121.24,1110434400000,,121.5,120.4,121.2,65149000
120.39,1110520800000,,121.72,120.16,121.31,57976500
121.14,1110780000000,,121.16,120.28,120.61,36336400
120.14,1110866400000,,121.46,120.08,121.42,62438500
119.12,1110952800000,,120.16,118.9,119.7,74874200
119.36,1111039200000,,119.74,118.98,119.31,62584200
118.54,1111125600000,,119.53,118.15,119.11,60232000
118.1,1111384800000,,118.78,117.76,118.71,61244300
116.9,1111471200000,,118.93,116.9,118.37,92472400
117.0,1111557600000,,117.72,116.75,116.95,70817296
117.14,1111644000000,,117.99,117.06,117.46,51932500
117.31,1111989600000,,117.94,117.31,117.42,46765500
116.53,1112076000000,,117.9,116.25,117.14,71160304
118.18,1112162400000,,118.2,116.77,116.78,62002100
117.96,1112248800000,,118.46,117.87,118.19,64575400
117.43,1112335200000,,118.99,116.91,118.63,95255296
117.63,1112590800000,,117.86,116.74,117.36,71581200
118.19,1112677200000,,118.38,117.67,117.78,46853900
118.6,1112763600000,,118.95,118.18,118.45,53268200
119.24,1112850000000,,119.26,118.32,118.41,46734600
118.0,1112936400000,,119.21,118.0,119.17,63772900
118.09,1113195600000,,118.42,117.83,118.29,44945000
118.7,1113282000000,,119.06,117.07,117.89,86144800
117.3,1113368400000,,118.8,117.13,118.56,65949000
115.77,1113454800000,,117.5,115.77,117.4,96119800
114.15,1113541200000,,116.2,114.1,115.74,128677296
114.5,1113800400000,,114.96,113.96,114.12,100035200
115.41,1113886800000,,115.53,114.83,115.1,64930100
113.8,1113973200000,,115.63,113.55,115.38,107735904
116.01,1114059600000,,116.21,114.38,114.79,86952200
115.57,1114146000000,,116.5,114.27,115.74,88845800
116.33,1114405200000,,116.5,115.72,115.86,52284100
115.2,1114491600000,,116.77,115.15,115.96,72626000
115.65,1114578000000,,116.07,114.44,114.86,84131904
114.2,1114664400000,,115.68,114.2,115.27,72481504
115.75,1114750800000,,115.87,113.97,115.07,103993800
116.4,1115010000000,,116.41,115.52,116.07,56026400
116.6,1115096400000,,116.85,115.69,116.07,86000304
117.5,1115182800000,,117.75,116.28,116.65,81055696
117.46,1115269200000,,118.0,116.74,117.67,96906704
117.09,1115355600000,,117.99,117.06,117.93,67415400
117.82,1115614800000,,118.08,117.05,117.21,43750500
116.6,1115701200000,,117.5,116.39,117.36,74613504
117.24,1115787600000,,117.4,115.85,116.93,91647400
115.95,1115874000000,,117.59,115.95,117.32,95086800
115.72,1115960400000,,116.62,114.8,116.3,85267000
116.8,1116219600000,,116.84,115.66,115.7,49207000
117.58,1116306000000,,117.7,116.16,116.41,61071800
118.79,1116392400000,,119.08,118.01,118.09,77944896
119.29,1116478800000,,119.41,118.7,119.02,61768100
119.12,1116565200000,,119.39,118.74,119.34,46345500
119.78,1116824400000,,120.04,119.19,119.21,51047900
119.5,1116910800000,,119.83,119.2,119.44,50654100
119.41,1116997200000,,119.87,118.83,119.35,47608800
120.05,1117083600000,,120.21,119.62,119.79,43256200
120.25,1117170000000,,120.25,119.8,120.06,24596100
119.48,1117515600000,,120.17,119.4,120.08,43377200
120.5,1117602000000,,120.92,119.45,119.52,69611000
120.76,1117688400000,,120.84,120.1,120.23,39704500
120.15,1117774800000,,120.89,119.73,120.55,60999400
120.04,1118034000000,,120.2,119.55,119.95,36046400
120.13,1118120400000,,121.25,120.01,120.39,66501300
119.91,1118206800000,,120.59,119.67,120.43,46881200
120.48,1118293200000,,120.58,119.44,119.74,56653300
120.2,1118379600000,,120.65,119.6,120.56,36465300
120.58,1118638800000,,121.08,119.81,119.94,49383200
120.86,1118725200000,,121.2,120.38,120.45,33857100
121.09,1118811600000,,121.24,120.23,121.16,53195600
121.4,1118898000000,,121.64,120.92,121.09,46564500
121.36,1118984400000,,121.9,120.49,121.54,51529400
121.4,1119243600000,,121.84,120.94,121.08,41019400
121.47,1119330000000,,121.65,121.03,121.5,39879800
121.57,1119416400000,,121.94,121.07,121.68,46310100
119.86,1119502800000,,121.6,119.83,121.32,62185600
118.98,1119589200000,,120.01,118.84,119.88,58572500
119.15,1119848400000,,119.41,118.75,118.97,48183800
120.15,1119934800000,,120.24,119.37,119.4,41174200
119.83,1120021200000,,120.4,119.76,120.37,42316500
119.18,1120107600000,,120.32,118.95,120.22,62288800
119.53,1120194000000,,119.8,119.21,119.45,49737500
